Arrival Date,Treatment NHS Board Description - as at date of episode,Location Name,Number Of Attendances
01-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,134
01-Jan-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,191
01-Jan-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,79
01-Jan-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,119
01-Jan-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,29
01-Jan-17,NHS FIFE,QUEEN MARGARET HOSPITAL,35
01-Jan-17,NHS FIFE,VICTORIA HOSPITAL,189
01-Jan-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,198
01-Jan-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,27
01-Jan-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,224
01-Jan-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,58
01-Jan-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,47
01-Jan-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,279
01-Jan-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,77
01-Jan-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,47
01-Jan-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,278
01-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,170
01-Jan-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,121
01-Jan-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,28
01-Jan-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,40
