,,,
Source: A&E Datamart,,,
Data from: 1st Janury 2015 - 31st December 2016,,,
Data extracted: 15th November 2017,,,
,,,
Arrival Date,Treatment NHS Board Description - as at date of episode,Treatment Location Name,Number Of Attendances
01-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,108
01-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,204
01-Jan-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,72
01-Jan-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,72
01-Jan-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,44
01-Jan-2015,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
01-Jan-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,34
01-Jan-2015,NHS FIFE,VICTORIA HOSPITAL,177
01-Jan-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,190
01-Jan-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,16
01-Jan-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,185
01-Jan-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,86
01-Jan-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,36
01-Jan-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,200
01-Jan-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,102
01-Jan-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,174
01-Jan-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,117
01-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,185
01-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,100
01-Jan-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,11
01-Jan-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,27
01-Jan-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,149
01-Jan-2015,NHS HIGHLAND,BELFORD HOSPITAL,22
01-Jan-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,18
01-Jan-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,20
01-Jan-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,93
01-Jan-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,121
01-Jan-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,165
01-Jan-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,155
01-Jan-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),78
01-Jan-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,364
01-Jan-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,149
01-Jan-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,72
01-Jan-2015,NHS ORKNEY,BALFOUR HOSPITAL,16
01-Jan-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,25
01-Jan-2015,NHS TAYSIDE,ARBROATH INFIRMARY,54
01-Jan-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,12
01-Jan-2015,NHS TAYSIDE,BRECHIN INFIRMARY,4
01-Jan-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,5
01-Jan-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,17
01-Jan-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,154
01-Jan-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,70
01-Jan-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,4
01-Jan-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,19
01-Jan-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,9
02-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,115
02-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,196
02-Jan-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,105
02-Jan-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,120
02-Jan-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,48
02-Jan-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,51
02-Jan-2015,NHS FIFE,VICTORIA HOSPITAL,195
02-Jan-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,173
02-Jan-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,38
02-Jan-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,178
02-Jan-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,79
02-Jan-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,42
02-Jan-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,233
02-Jan-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,91
02-Jan-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,235
02-Jan-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,135
02-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,201
02-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,126
02-Jan-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,40
02-Jan-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,34
02-Jan-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,150
02-Jan-2015,NHS HIGHLAND,BELFORD HOSPITAL,26
02-Jan-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,15
02-Jan-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,21
02-Jan-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,93
02-Jan-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,155
02-Jan-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,150
02-Jan-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,173
02-Jan-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),111
02-Jan-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,364
02-Jan-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,181
02-Jan-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,88
02-Jan-2015,NHS ORKNEY,BALFOUR HOSPITAL,15
02-Jan-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,23
02-Jan-2015,NHS TAYSIDE,ARBROATH INFIRMARY,62
02-Jan-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,19
02-Jan-2015,NHS TAYSIDE,BRECHIN INFIRMARY,14
02-Jan-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,13
02-Jan-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,30
02-Jan-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,134
02-Jan-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,79
02-Jan-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,16
02-Jan-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,46
02-Jan-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,28
03-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,111
03-Jan-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,214
03-Jan-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,98
03-Jan-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,112
03-Jan-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,44
03-Jan-2015,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
03-Jan-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,55
03-Jan-2015,NHS FIFE,VICTORIA HOSPITAL,184
03-Jan-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,207
03-Jan-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,35
03-Jan-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,202
03-Jan-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,79
03-Jan-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,40
03-Jan-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,217
03-Jan-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,96
03-Jan-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,217
03-Jan-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,139
03-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,199
03-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,128
03-Jan-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,38
03-Jan-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,42
03-Jan-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,154
03-Jan-2015,NHS HIGHLAND,BELFORD HOSPITAL,22
03-Jan-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,15
03-Jan-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,18
03-Jan-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,90
03-Jan-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,159
03-Jan-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,158
03-Jan-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,147
03-Jan-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),120
