,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian,Total
01/01/2015,1,0,0,1,0,0,0,1,0,0,0,5,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,19
02/01/2015,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,1,1,0,2,0,1,1,0,1,1,0,0,1,0,0,0,0,15
03/01/2015,0,3,0,1,0,1,2,0,2,0,0,2,0,1,0,3,1,0,0,1,0,0,0,1,1,0,0,0,3,2,0,1,25
04/01/2015,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9
05/01/2015,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,13
06/01/2015,1,0,1,1,0,0,0,0,0,2,0,3,0,1,3,1,3,0,0,1,1,1,0,0,2,1,0,1,2,0,1,0,26
07/01/2015,1,2,1,0,0,0,1,0,0,1,0,3,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,4,1,0,0,20
08/01/2015,0,2,1,1,0,0,1,0,0,1,0,4,0,1,2,5,1,0,2,0,1,0,0,1,2,0,0,1,0,1,1,0,28
09/01/2015,2,2,0,0,1,0,2,2,1,2,0,4,0,1,0,5,1,0,1,0,1,2,0,0,0,1,0,0,3,0,1,5,37
10/01/2015,0,1,0,2,0,3,0,0,1,0,0,0,0,0,3,5,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,22
11/01/2015,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,1,2,0,0,0,0,0,1,2,0,0,2,19
12/01/2015,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,1,2,1,2,0,1,0,0,1,1,0,0,1,3,1,0,3,23
13/01/2015,2,1,1,1,0,0,1,0,1,1,2,4,1,2,4,4,0,2,0,1,2,1,0,2,1,0,0,1,2,1,1,2,41
14/01/2015,0,2,0,1,0,1,1,0,0,0,1,2,0,0,0,4,3,0,1,0,1,2,0,1,1,1,1,0,1,1,0,1,26
15/01/2015,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,3,17
16/01/2015,0,1,0,2,1,0,0,4,1,2,1,2,0,1,1,8,0,0,2,0,1,5,0,0,1,0,0,0,4,0,2,0,39
17/01/2015,1,0,0,1,1,1,1,0,0,1,0,4,0,0,0,7,4,1,0,1,0,1,0,0,0,0,0,2,0,0,1,1,28
18/01/2015,2,2,0,1,0,0,0,1,0,0,0,2,0,0,2,0,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,17
19/01/2015,1,0,0,3,0,0,2,0,0,0,0,6,0,1,0,2,3,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,23
20/01/2015,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1,0,15
21/01/2015,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,15
